experiment,date,participant,condition,age_num,gender,race,parent_income,pas,pets_now,pets_child,dog_discomfort,dog_ambivalence,dog_desire_to_interact,dog_comfort,duration_interaction,panas_pre_neg,panas_pre_pos,panas_post_neg,panas_post_pos,panas_pos_diff,panas_neg_diff,vas_anxiety_pre,vas_anxiety_post,vas_stress_pre,vas_stress_post,stai_trait,stai_state,drm_accuracy,drm_d_prime,ncpc_pre_diff,ncpc_post_diff,ncpc_diff,bds_index_pre,bds_index_post,bds_index_diff,nback_d_prime_pre,nback_d_prime_post,nback_d_prime_diff
1,2018-10-08T00:00:00Z,22,control,20,Female,White/Caucasian,$75000-$100000,5.833333333333333,1,1,NA,NA,NA,NA,NA,1.5,3.7,1.4,3.2,-0.5,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.25,-5.328325982543045,4,1,-3,3,6,3,-0.33627287396573613,0.19717416726797077,0.5334470412337069
1,2018-10-08T00:00:00Z,24,control,20,Female,White/Caucasian,$75000-$100000,5.5,1,1,NA,NA,NA,NA,NA,2.4,3.7,1.9,3.6,-0.10000000000000009,-0.5,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,1,0,-1,5,7,2,-1.063948226731212,-0.9718882368344037,0.09205998989680819
1,2018-10-08T00:00:00Z,26,control,19,Male,White/Caucasian,$50000-$75000,6.222222222222222,0,1,NA,NA,NA,NA,NA,1.1,3.7,1,3.7,0,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,0,-3,-3,6,6,0,1.4089443188955468,1.4670216433905727,0.058077324495025895
1,2018-10-08T00:00:00Z,28,control,18,Female,White/Caucasian,> $100000,6.722222222222222,1,1,NA,NA,NA,NA,NA,1.9,3.6,2,3.2,-0.3999999999999999,0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-7,-8,-1,7,5,-2,-4.121420674975109,-3.464968722366805,0.6564519526083044
1,2018-10-10T00:00:00Z,30,control,18,Female,White/Caucasian,$25000-$50000,6.111111111111111,1,1,NA,NA,NA,NA,NA,1,1.6,1,1.5,-0.10000000000000009,0,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,0,0,0,9,7,-2,1.3949387166546505,1.4670216433905727,0.0720829267359222
1,2018-10-10T00:00:00Z,32,control,18,Female,White/Caucasian,$50000-$75000,5.833333333333333,1,1,NA,NA,NA,NA,NA,1.7,3.2,1.6,3.5,0.2999999999999998,-0.09999999999999987,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,-5,-9,-4,8,7,-1,0.9765983451780136,0.03188961124361528,-0.9447087339343982
1,2018-10-10T00:00:00Z,34,control,18,Female,White/Caucasian,> $100000,4.722222222222222,1,1,NA,NA,NA,NA,NA,1.5,2.6,1.5,2.3,-0.30000000000000027,0,NA,NA,NA,NA,NA,NA,0.75,-0.42297921518565196,-5,3,8,5,7,2,1.6330339547498887,0.9987116518420496,-0.6343223029078391
1,2018-10-10T00:00:00Z,36,control,22,Female,White/Caucasian,> $100000,6.444444444444445,1,1,NA,NA,NA,NA,NA,1.1,3.3,1,3.7,0.40000000000000036,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,0.1855761652749902,-1,2,3,9,9,0,0.7366754113325213,1.1082386353538334,0.37156322402131203
1,2018-10-10T00:00:00Z,38,control,21,Female,Asian,$25000-$50000,6.388888888888889,0,1,NA,NA,NA,NA,NA,2.1,3.4,2.9,3.2,-0.19999999999999973,0.7999999999999998,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,4,-2,-6,8,7,-1,-0.9025859168469117,0.3261731352762267,1.2287590521231384
1,2018-10-22T00:00:00Z,40,control,18,Female,White/Caucasian,> $100000,5.277777777777778,1,1,NA,NA,NA,NA,NA,2.5,3,2.4,2.8,-0.20000000000000018,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,-2,0,2,5,6,1,0.23004016891543938,-0.16160884076876864,-0.391649009684208
1,2018-10-22T00:00:00Z,42,control,18,Female,White/Caucasian,> $100000,6.166666666666667,0,1,NA,NA,NA,NA,NA,1.4,2.9,1,2.9,0,-0.3999999999999999,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,2,2,0,6,6,0,-0.574437006949385,0.4539872677574261,1.028424274706811
1,2018-10-24T00:00:00Z,44,control,23,Male,Other,> $100000,5.722222222222222,1,1,NA,NA,NA,NA,NA,1.4,2.3,1.2,1.9,-0.3999999999999999,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.6666666666666666,-0.581268680912855,-1,-4,-3,6,7,1,1.304816149963951,1.0437391513497054,-0.2610769986142456
1,2018-10-24T00:00:00Z,46,control,18,Male,White/Caucasian,$50000-$75000,6.777777777777778,1,1,NA,NA,NA,NA,NA,1.2,4.6,1,4.9,0.3000000000000007,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,-4,-2,2,8,7,-1,-2.1831846740138015,-0.39139288079725204,1.7917917932165495
1,2018-10-24T00:00:00Z,48,control,21,Female,White/Caucasian,> $100000,5.944444444444445,0,1,NA,NA,NA,NA,NA,1.2,2.2,1,2,-0.20000000000000018,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.75,0.1855761652749902,-1,-6,-5,5,5,0,0.7782383298386113,1.1082386353538334,0.3300003055152221
1,2018-10-24T00:00:00Z,50,control,19,Female,Black,> $100000,4.555555555555555,1,1,NA,NA,NA,NA,NA,1.7,2.2,1.4,1.9,-0.30000000000000027,-0.30000000000000004,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,2,-3,-5,9,9,0,-2.29888488344148,-3.530284655535542,-1.2313997720940617
1,2018-10-24T00:00:00Z,52,control,19,Female,White/Caucasian,$50000-$75000,5.722222222222222,1,1,NA,NA,NA,NA,NA,1.2,2.4,1.3,2.1,-0.2999999999999998,0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-3,-2,1,5,6,1,-0.8124633501562123,0.5559571753047101,1.3684205254609223
1,2018-10-24T00:00:00Z,54,control,18,Female,White/Caucasian,> $100000,2.7222222222222223,1,0,NA,NA,NA,NA,NA,1.5,2.8,1.5,2.8,0,0,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,0,-1,-1,7,8,1,0.4358629450338174,-0.7138903008178918,-1.1497532458517092
1,2018-10-26T00:00:00Z,56,control,18,Male,White/Caucasian,> $100000,6.111111111111111,1,1,NA,NA,NA,NA,NA,1.1,2.1,1,1.5,-0.6000000000000001,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,4,-1,-5,7,6,-1,-0.24615030727503678,0.3233554014199517,0.5695057086949885
